,brands,model_names,cpu_models,storages,rams,operating_systems,prices,graphics,ratings,reviews
429,Artis,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,699.0,Integrated,3.6,3745.0
430,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,399.0,Integrated,4.3,3745.0
431,Lenovo,Lenovo V15 G4,Ryzen 7,512.0,16.0,Windows 11,40.99,Integrated,4.0,3745.0
432,acer,Aspire 3,Core i5,512.0,16.0,Windows 11 Home,42.98,Integrated,4.2,3745.0
433,Portronics,HP Laptop,Core i3,512.0,16.0,"Windows, macOS, Linux",998.0,Integrated,4.1,3745.0
434,ASUS,ASUS Vivobook 16X,Intel Core i5,512.0,16.0,Windows 11 Home,68.99,Integrated,3.5,3745.0
435,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,299.0,Integrated,3.9,3745.0
436,Portronics,HP Laptop,Core i3,512.0,16.0,"Windows, macOS, Linux",294.0,Integrated,4.2,3745.0
437,Lenovo,Lenovo ThinPad i5-6TH,Intel Core I5 6500,512.0,16.0,Windows 11,299.0,Integrated,3.2,3745.0
438,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.49,Integrated,4.2,3745.0
439,Lenovo,IdeaPad,Athlon Silver 3050U,512.0,16.0,Windows 11 Home,26.99,Integrated,3.9,3745.0
440,ASUS,ASUS Zenbook 14,Intel Core Ultra 7,1000.0,16.0,Windows 11 Home,299.0,Integrated,2.0,3745.0
441,MSI,CreatorPro X17 HX A13VKS,Core i9,4000.0,64.0,Windows 11 Pro,299.0,PCI Express,3.5,3745.0
442,Tukzer,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,259.0,Integrated,4.1,3745.0
443,Lapcare,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,899.0,Integrated,3.4,3745.0
444,Klenzmo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,370.0,Integrated,4.3,3745.0
